,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
92,AR_74,8,424.391,2628.06,0.161485,EXP_025_50_01 Secondary Screen/map1,Neg,H,9,1,1,1,1,no-odor,2023-01-18 15:16:25
93,Rho-pCI,8,499.133,3437.78,0.14519,EXP_025_50_01 Secondary Screen/map1,Neg,H,10,1,1,1,1,no-odor,2023-01-18 15:16:25
94,Rho-pCI,8,383.282,3605.95,0.106292,EXP_025_50_01 Secondary Screen/map1,Neg,H,11,1,1,1,1,no-odor,2023-01-18 15:16:25
95,Rho-pCI,8,368.334,4086.81,0.0901275,EXP_025_50_01 Secondary Screen/map1,Neg,H,12,1,1,1,1,no-odor,2023-01-18 15:16:25
96,AR_53,1,251.35,2505.93,0.100302,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,1,0.452717,1.64773,0.0452698,1.82261,sample,2023-01-18 15:16:25
97,AR_53,1,226.652,2136.64,0.106079,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,2,0.205747,1.61428,0.0571537,2.16818,sample,2023-01-18 15:16:25
98,AR_53,1,199.602,1907.29,0.104652,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,3,0.196208,0.47944,0.0200352,1.23678,sample,2023-01-18 15:16:25
99,AR_101,1,234.885,4873.47,0.0481966,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,4,1.39287,0.756263,-0.0174702,0.733957,sample,2023-01-18 15:16:25
100,AR_101,1,203.13,3229.24,0.0629034,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,5,0.555023,1.40831,0.0222873,1.54873,sample,2023-01-18 15:16:25
101,AR_101,1,212.539,2110.76,0.100693,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,6,-0.141169,0.589181,0.0462762,1.8504,sample,2023-01-18 15:16:25
102,AR_74,1,2677.65,2703.52,0.990429,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,7,0.0136703,7.16864,0.867524,8.05848,sample,2023-01-18 15:16:25
103,AR_74,1,3437.42,2576.5,1.33414,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,8,-0.154725,6.86285,1.19072,9.30212,sample,2023-01-18 15:16:25
104,AR_74,1,3156.33,3325.69,0.949075,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,9,0.531221,6.63042,0.758621,4.98323,sample,2023-01-18 15:16:25
105,Rho-pCI,1,150.207,4213.66,0.0356475,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,10,0.284263,-0.545033,-0.0649769,0.354263,sample,2023-01-18 15:16:25
106,Rho-pCI,1,217.244,4842.89,0.0448582,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,11,0.278912,-0.477783,-0.0649999,0.408329,sample,2023-01-18 15:16:25
107,Rho-pCI,1,219.596,3402.13,0.0645464,EXP_025_50_01 Secondary Screen/map1,sPREP795,A,12,-0.0350272,-0.32033,-0.0270944,0.704341,sample,2023-01-18 15:16:25
108,AR_53,2,288.985,2497.7,0.1157,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,1,0.542601,0.954524,0.0243843,1.26703,sample,2023-01-18 15:16:25
109,AR_53,2,234.885,2681.17,0.0876052,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,2,0.130411,1.02313,0.0386562,1.78972,sample,2023-01-18 15:16:25
110,AR_53,2,265.463,2852.89,0.0930507,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,3,1.10802,1.38307,0.0107397,1.13048,sample,2023-01-18 15:16:25
111,AR_101,2,173.728,2296.59,0.0756463,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,4,0.113474,0.384193,0.0147948,1.24313,sample,2023-01-18 15:16:25
112,AR_101,2,261.935,1916.7,0.136659,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,5,0.0584528,0.908179,0.0608553,1.8028,sample,2023-01-18 15:16:25
113,AR_101,2,180.785,2260.13,0.0799888,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,6,0.135287,0.793307,0.0293504,1.57961,sample,2023-01-18 15:16:25
114,AR_74,2,3952.56,2540.04,1.5561,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,7,0.0767814,9.28648,1.39321,9.55299,sample,2023-01-18 15:16:25
115,AR_74,2,3575.02,2202.5,1.62317,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,8,0.106339,5.44403,1.3445,5.82464,sample,2023-01-18 15:16:25
116,AR_74,2,3256.3,2370.68,1.37357,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,9,0.343173,5.58103,1.09323,4.89961,sample,2023-01-18 15:16:25
117,Rho-pCI,2,229.004,3425.66,0.0668498,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,10,0.16429,-0.37333,-0.0573504,0.538242,sample,2023-01-18 15:16:25
118,Rho-pCI,2,286.633,3980.79,0.072004,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,11,0.634574,-0.290937,-0.0939839,0.433791,sample,2023-01-18 15:16:25
119,Rho-pCI,2,264.287,3343.33,0.0790491,EXP_025_50_01 Secondary Screen/map1,sPREP795,B,12,9.86193,-0.179017,-0.966802,0.0755835,sample,2023-01-18 15:16:25
120,AR_53,3,178.433,2621.19,0.0680731,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,1,0.627144,0.601792,-0.00107743,0.984419,sample,2023-01-18 15:16:25
121,AR_53,3,239.589,2701.17,0.0886983,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,2,0.392193,0.660055,0.0143121,1.1924,sample,2023-01-18 15:16:25
122,AR_53,3,237.237,2140.16,0.11085,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,3,-0.107859,0.232108,0.030586,1.38107,sample,2023-01-18 15:16:25
123,AR_101,3,133.741,2233.08,0.0598911,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,4,0.256834,0.463218,0.00844751,1.16421,sample,2023-01-18 15:16:25
124,AR_101,3,180.785,3463.29,0.0522003,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,5,0.877163,-0.0128438,-0.0470631,0.525877,sample,2023-01-18 15:16:25
125,AR_101,3,161.967,2342.45,0.0691443,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,6,0.394064,0.367365,-0.00135008,0.980848,sample,2023-01-18 15:16:25
126,AR_74,3,3393.9,2631.78,1.28959,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,7,0.3997,6.2376,1.04019,5.17082,sample,2023-01-18 15:16:25
127,AR_74,3,3813.78,2884.64,1.3221,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,8,0.713139,7.53995,1.05688,4.98497,sample,2023-01-18 15:16:25
128,AR_74,3,3378.61,2654.12,1.27297,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,9,0.478156,5.71648,0.992814,4.54382,sample,2023-01-18 15:16:25
129,Rho-pCI,3,301.922,3805.54,0.0793374,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,10,0.597329,-0.0446567,-0.0533143,0.598088,sample,2023-01-18 15:16:25
130,Rho-pCI,3,283.104,3318.63,0.0853076,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,11,0.0549599,-0.169131,-0.023008,0.787584,sample,2023-01-18 15:16:25
131,Rho-pCI,3,234.885,4340.68,0.0541124,EXP_025_50_01 Secondary Screen/map1,sPREP795,C,12,0.407756,-0.386839,-0.0701242,0.435559,sample,2023-01-18 15:16:25
132,AR_53,4,130.213,3157.5,0.0412393,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,1,1.49114,0.0884806,-0.0531424,0.436942,sample,2023-01-18 15:16:25
133,AR_53,4,121.98,2035.49,0.0599268,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,2,0.00992005,0.143302,0.00699131,1.13207,sample,2023-01-18 15:16:25
134,AR_53,4,150.207,2214.26,0.067836,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,3,0.181339,-0.330332,-0.0518313,0.566872,sample,2023-01-18 15:16:25
135,AR_101,4,170.2,1852.02,0.0918998,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,4,0.0899837,0.465978,0.0235705,1.34495,sample,2023-01-18 15:16:25
136,AR_101,4,153.735,2084.89,0.0737377,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,5,0.0137245,0.23648,0.0132841,1.21974,sample,2023-01-18 15:16:25
137,AR_101,4,100.811,2354.22,0.0428214,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,6,0.548463,0.011804,-0.0227124,0.653425,sample,2023-01-18 15:16:25
138,AR_74,4,2485.94,1982.57,1.2539,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,7,-0.198698,5.29618,1.09432,7.85744,sample,2023-01-18 15:16:25
139,AR_74,4,2320.11,2461.24,0.942658,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,8,0.381594,3.52755,0.655003,3.27705,sample,2023-01-18 15:16:25
140,AR_74,4,2725.87,2064.89,1.3201,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,9,0.180937,4.82761,1.05259,4.93473,sample,2023-01-18 15:16:25
141,Rho-pCI,4,319.563,3404.49,0.0938653,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,10,0.304685,-0.0489996,-0.0349093,0.728912,sample,2023-01-18 15:16:25
142,Rho-pCI,4,283.104,3124.57,0.0906059,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,11,0.0675056,-0.260963,-0.0402702,0.692303,sample,2023-01-18 15:16:25
